pmcid,file_path,title_lenght,title,journal,pub_year,word_count,sentence_count,label_q1,label_q2,checking_website,legit_coloncancer_article,note,sg_query,th_query
PMC11467195,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11467195.xml,154,Improved antitumor effectiveness of oncolytic HSV-1 viruses engineered with IL-15/IL-15Rα complex combined with oncolytic HSV-1-aPD1 targets colon cancer,Scientific Reports,2024,4458,214,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11467195/,1,,0,0
PMC11467758,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11467758.xml,107,Kaempferol Synergistically Enhances Cisplatin-induced Apoptosis and Cell Cycle Arrest in Colon Cancer Cells,Journal of Cancer Prevention,2024,4650,243,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11467758/,1,,0,0
PMC11475688,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11475688.xml,158,Accurate Co-Localization of Luciferase Expression and Fluorescent Anti-CEA Antibody Targeting of Liver Metastases in an Orthotopic Mouse Model of Colon Cancer,Cancers,2024,2642,133,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11475688/,1,,0,0
PMC11476312,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11476312.xml,141,Genotoxic and Anti-Migratory Effects of Camptothecin Combined with Celastrol or Resveratrol in Metastatic and Stem-like Cells of Colon Cancer,Cancers,2024,6832,326,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11476312/,1,,0,0
PMC11476934,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11476934.xml,107,Novel Oncogenic Value of C10orf90 in Colon Cancer Identified as a Clinical Diagnostic and Prognostic Marker,International Journal of Molecular Sciences,2024,5878,259,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11476934/,1,,0,0
PMC11476935,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11476935.xml,102,Survival prediction in sigmoid colon cancer patients with liver metastasis: a prospective cohort study,JNCI Cancer Spectrum,2024,4112,165,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11476935/,1,,0,0
PMC11479648,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11479648.xml,157,The co-expression of Crohn’s disease and colon cancer network was analyzed by bioinformatics-CXCL1 tumour microenvironment and prognosis-related gene CXCL1,Discover Oncology,2024,3333,211,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11479648/,1,,0,0
PMC11480251,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11480251.xml,113,Non-pathogenic Trojan horse Nissle1917 triggers mitophagy through PINK1/Parkin pathway to discourage colon cancer,Materials Today Bio,2024,9927,518,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11480251/,1,,1,0
PMC11485730,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11485730.xml,109,Low-pressure self-expandable metal stent insertion for obstructive colon cancer using water and gel immersion,Endoscopy,2024,512,47,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11485730/,1,,0,0
PMC11486642,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11486642.xml,115,A watch-and-wait approach for metachronous multiple colon cancer following neoadjuvant immunotherapy: a case report,Frontiers in Immunology,2024,3384,178,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11486642/,1,,0,0
PMC11490504,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11490504.xml,116,O-GlcNAcylation inhibition redirects the response of colon cancer cells to chemotherapy from senescence to apoptosis,Cell Death & Disease,2024,7003,337,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11490504/,1,,0,0
PMC11493006,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11493006.xml,122,A novel m7G-related miRNA prognostic signature for predicting clinical outcome and immune microenvironment in colon cancer,Journal of Cancer,2024,5216,228,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11493006/,1,,0,0
PMC11495315,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11495315.xml,114,The Great Mimicker Unmasked: A Case Report of Cardiac Sarcoidosis Hidden by Myocardial Infarction and Colon Cancer,Journal of Cardiovascular Echography,2024,1791,78,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11495315/,1,,0,0
PMC11496807,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11496807.xml,89,Oral reovirus reshapes the gut microbiome and enhances antitumor immunity in colon cancer,Nature Communications,2024,8061,452,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11496807/,1,,1,0
PMC11497205,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11497205.xml,114,"Gold(I) Complexes
Based on Nonsteroidal Anti-Inflammatory
Derivatives as Multi-Target Drugs against Colon Cancer",Inorganic Chemistry,2024,9302,319,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11497205/,1,,0,0
PMC11499122,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11499122.xml,116,Pre-vaccination transcriptomic profiles of immune responders to the MUC1 peptide vaccine for colon cancer prevention,Frontiers in Immunology,2024,5123,203,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499122/,1,,0,0
PMC11505083,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11505083.xml,145,Identification of Anomalies in Lung and Colon Cancer Using Computer Vision-Based Swin Transformer with Ensemble Model on Histopathological Images,Bioengineering,2024,5408,290,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505083/,1,,0,0
PMC11505339,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11505339.xml,96,Secure and Transparent Lung and Colon Cancer Classification Using Blockchain and Microsoft Azure,Advances in Respiratory Medicine,2024,7239,335,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505339/,1,,0,0
PMC11505676,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11505676.xml,129,Effect of Fluorescence Lymph Node Mapping on Improving Diagnostic Values of CT D3 Lymph Node Staging for Right-Sided Colon Cancer,Cancers,2024,3936,186,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505676/,1,,0,0
PMC11505920,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11505920.xml,95,Overcoming Irinotecan Resistance by Targeting Its Downstream Signaling Pathways in Colon Cancer,Cancers,2024,4930,235,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505920/,1,,0,0
PMC11506260,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11506260.xml,122,Advanced Deep Learning Fusion Model for Early Multi-Classification of Lung and Colon Cancer Using Histopathological Images,Diagnostics,2024,9526,479,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11506260/,1,,0,0
PMC11506681,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11506681.xml,111,Robotic surgery versus conventional laparoscopy in colon cancer patients: a systematic review and meta-analysis,Acta Cirúrgica Brasileira,2024,2678,135,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11506681/,1,,0,1
PMC11513413,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11513413.xml,99,Descending Colon Cancer Resection Using the da Vinci SP with an Access Port kit: World's First Case,"Journal of the Anus, Rectum and Colon",2024,2236,120,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11513413/,1,,0,1
PMC11513429,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11513429.xml,90,A Study on Lymph Node Distribution in the Main Lymph Node Area for Left-sided Colon Cancer,"Journal of the Anus, Rectum and Colon",2024,2914,150,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11513429/,1,,0,0
PMC11514506,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11514506.xml,122,Perioperative management of postoperative sigmoid colon cancer complicated by a large abdominal wall defect: A case report,World Journal of Clinical Oncology,2024,3858,169,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11514506/,1,,0,0
PMC11514666,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11514666.xml,144,Constructing a nomogram to predict overall survival of colon cancer based on computed tomography characteristics and clinicopathological factors,World Journal of Gastrointestinal Oncology,2024,3806,154,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11514666/,1,,0,0
PMC11515452,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11515452.xml,116,Robotic right colectomy versus laparoscopic right colectomy in patients with right colon cancer: a comparative study,BMC Surgery,2024,2290,98,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11515452/,1,,0,1
PMC11518354,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11518354.xml,96,Antimetastatic effect of nanodiamond-conjugated quercetin against colon cancer: an in vivo study,Turkish Journal of Biology,2024,4290,210,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11518354/,0,not relevent,0,0
PMC11519258,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11519258.xml,135,"Solute carrier family 4 member 4 (SLC4A4) is associated with cell proliferation, migration and immune cell infiltration in colon cancer",Discover Oncology,2024,7039,337,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11519258/,1,,0,0
PMC11524431,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11524431.xml,107,Open Versus Laparoscopic Oncological Resections for Colon Cancer: An Experience at an Average-Volume Center,Cureus,2024,2161,100,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11524431/,1,,0,0
PMC11525054,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11525054.xml,97,Retraction: Mir-124 attenuates STAT3-mediated TH17 differentiation in colitis-driven colon cancer,Frontiers in Oncology,2024,92,7,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11525054/,0,retraction,0,0
PMC11526153,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11526153.xml,105,Advancements and Challenges in the Image-Based Diagnosis of Lung and Colon Cancer: A Comprehensive Review,Cancer Informatics,2024,13470,687,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11526153/,1,,0,0
PMC11528127,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11528127.xml,178,"Proteomic study of medicinal mushroom extracts reveals antitumor mechanisms in an advanced colon cancer animal model via ribosomal biogenesis, translation, and metabolic pathways",Frontiers in Pharmacology,2024,10829,335,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11528127/,1,,0,0
PMC11529595,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11529595.xml,82,In-depth study of pyroptosis-related genes and immune infiltration in colon cancer,PeerJ,2024,4718,251,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11529595/,1,,0,0
PMC11529659,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11529659.xml,106,Laparoscopic segmental colectomy with extensive D3 lymph node dissection for right transverse colon cancer,The Journal of International Medical Research,2024,2468,130,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11529659/,1,,0,0
PMC11531565,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11531565.xml,201,Phase II trial evaluating the long-term efficacy and peripheral sensory neuropathy of capecitabine plus oxaliplatin (XELOX) as adjuvant therapy in Japanese patients with operated stage III colon cancer,Scientific Reports,2024,1902,96,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11531565/,1,,0,0
PMC11532241,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11532241.xml,146,Downregulation of aquaporins and PI3K/AKT and upregulation of PTEN expression induced by the flavone scutellarein in human colon cancer cell lines,Heliyon,2024,8102,390,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11532241/,1,,0,0
PMC11532389,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11532389.xml,118,Early detection of anastomotic leakage in colon cancer surgery: the role of early warning score and C-reactive protein,Annals of Coloproctology,2024,633,27,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11532389/,1,,0,0
PMC11532831,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11532831.xml,73,Prognostic value of visceral protein ratios in patients with colon cancer,Heliyon,2024,3197,168,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11532831/,1,,0,0
